municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Chapel Hill,50,"parks, recreation, and public art","['climbing', 'wall', 'belay', 'belayers', 'center', 'old', 'indoor', 'solo', 'attendant', 'beginners']",,"['community members', 'climbers', 'children', 'parents', 'belayers']","Chapel Hill's Community Center offers an indoor climbing wall with over 40 routes and a bouldering section for all skill levels, from beginners to experts. The facility is open to individuals six years and older and provides attendants, equipment rental, and requires belay testing for safety. Climbers under 18 need a signed release form.",3
Chapel Hill,51,"building permits, inspections, and local ordinances","['permit', 'email', 'steps', 'applicant', 'notifications', 'online', 'turn', 'center', 'process', 'status']",,"['applicants', 'homeowners', 'contractors', 'developers', 'Town staff']","The Chapel Hill Online Permit Center automatically sends email notifications to applicants for each step in the permit process, including inspections. While there's no option to turn off these notifications currently, applicants can check permit status via their user dashboard and contact the Town for assistance. Fees for building permits are due after administrative review, and trade-only permits are due upon issuance.",3
Chapel Hill,52,"town governance, human resources, and board appointments","['community', 'webinar', 'virtual', 'aesthetics', 'advocacy', 'design', 'guiding', 'function', 'advice', 'key']",,"['Community Design Commission members', 'Council members', 'public', 'developers', 'residents']","The Chapel Hill Community Design Commission, which meets virtually, advises the Town Council on aesthetics, character, and function to guide community growth. It provides advice and advocacy, implements Council policies, and reviews proposed development in key areas of the community.",3
Chapel Hill,53,uncategorized initiatives,"['older', 'years', 'age', 'children', '16', '15', 'background', '14', '18', 'ages']",,"['children', 'parents', 'volunteers', 'community organizations']","Chapel Hill outlines age requirements for various activities, including limits on the number of children in different age groups (birth to 13 years) and volunteer age requirements. Volunteers aged 14-15 require three references, and those 16 and older require a background check.",3
Chapel Hill,54,"town governance, human resources, and board appointments","['ordinance', 'vote', 'franchise', 'majority', 'legislative', 'amending', 'voting', 'bond', 'tie', 'simple']",,"['Town Council', 'residents', 'property owners', 'businesses', 'town staff']",Chapel Hill's legislative procedures dictate voting requirements for ordinances. General ordinances require a two-thirds vote for immediate enactment or a simple majority at a second reading. Budget ordinances and amendments to development regulations can be adopted by a simple majority. Franchise ordinances need approval by a five-vote majority at two regular meetings. Specific rules apply to tie votes and abstentions by Council members.,3
Chapel Hill,55,affordable housing and zoning,"['arnold', 'housing', 'alicia', 'director', 'news', 'affordable', 'community', 'development', 'pleased', 'wake']",5000000.0,"['residents', 'unhoused community members', 'vulnerable residents', 'Town staff', 'Housing & Community Development Department']","Alicia Arnold has been appointed as the new Director of Housing & Community Development for Chapel Hill. She will oversee initiatives to expand affordable housing access, strengthen services for unhoused community members, and manage the town's affordable housing plan, investment strategy, public housing communities, and community development funding programs, including over $5 million in federal and local funding.",3
Chapel Hill,0,"building permits, inspections, and local ordinances","['planning', 'lumo', 'plan', 'land', 'virtual', 'webinar', 'comprehensive', 'achieving', 'analyzing', 'evaluating']",,"['Community', 'Planning Commission', 'Council', 'Public']","The Planning Commission assists the Council in achieving the Town’s comprehensive plan for orderly growth and development by analyzing, evaluating, and recommending responsible town policies, ordinances, and planning standards that manage land use and involve the community in long-range planning. Meetings are often virtual webinars.",3
Chapel Hill,1,affordable housing and zoning,"['housing', 'affordable', 'funding', 'bond', 'projects', 'million', 'bonds', 'referendum', 'tracker', 'income']",25000000.0,"['Residents', 'Low-income individuals', 'Housing developers', 'Community Housing Partners', 'Habitat for Humanity']","Chapel Hill has approved a total of $25 million in bond funding through municipal bond referendums to support affordable housing projects, including new construction, preservation, and land acquisition. This initiative aims to align with the Town's Affordable Housing Plan and Investment Strategy, leveraging state and federal funding and local partnerships. The bonds are expected to support the development and preservation of hundreds of affordable housing units.",3
Chapel Hill,2,"town governance, human resources, and board appointments","['agenda', 'meeting', 'items', 'council', 'motion', 'item', 'public', 'sessions', 'meetings', 'vote']",,"['Council members', 'Town Manager', 'Town Attorney', 'Town Clerk', 'Citizens', 'Public', 'News media']","This topic outlines the procedures for Chapel Hill Council meetings, including the preparation and order of agendas, methods for adding and removing items, public participation guidelines, voting rules for various actions (ordinances, resolutions, motions), and specific procedures for public hearings and closed sessions. It details the roles of the Mayor, Council members, and staff in town governance.",3
Chapel Hill,3,"waste management, stormwater, and infrastructure","['waste', 'trash', 'yard', 'piles', 'trimmings', 'collection', 'cart', 'truckload', 'dumpster', 'large']",,"['Residents', 'Property owners', 'Contractors', 'Builders']","Chapel Hill provides services for yard trimming collection, including guidelines for pile size and options for large brush piles. Residents can take one truckload of yard trimmings to Orange County Waste and Recycling Center for free. For larger piles, a Knuckleboom Truck Collection service is available for a fee. Certain materials like loose leaves, large logs, and clearing debris are not picked up by the town.",3
Chapel Hill,4,job creation and business support,"['children', 'age', 'business', 'application', 'vitality', 'live', 'chapel', 'hill', 'assistance', 'child']",,"['Small business owners', 'Entrepreneurs', 'Families with children', 'Childcare providers', 'North Carolina Department of Health and Human Services']","Chapel Hill offers personalized support for small businesses through its Business Vitality Manager, assisting with growth, permitting, relocation, and market data. The town also outlines permit requirements for operating childcare facilities, distinguishing between Family Child Care Homes and Child Care Centers, and noting additional state-level applications.",3
Chapel Hill,5,"waste management, stormwater, and infrastructure","['stormwater', 'water', 'training', 'watershed', 'lake', 'professionals', 'control', 'jordan', 'management', 'maintenance']",,"['Property owners', 'Licensed North Carolina Professional Engineers', 'Landscape Architects', 'Stormwater professionals', 'Town of Chapel Hill staff']","Chapel Hill mandates annual inspections of Stormwater Control Measures (SCMs) by licensed North Carolina Professional Engineers or Landscape Architects with qualified stormwater management inspection and maintenance training. Property owners are responsible for these inspections, and professionals must provide proof of certification or training upon request. The town provides a self-reported list of qualified professionals.",3
Chapel Hill,6,"building permits, inspections, and local ordinances","['liquids', 'flammable', 'systems', 'combustible', 'installation', 'store', 'performed', 'storage', 'modification', 'operate']",,"['Property owners', 'Contractors', 'Builders', 'Businesses', 'Residents']","Chapel Hill requires construction permits for the installation or alteration of various systems, including smoke control/exhaust systems, solar photovoltaic power systems, and outdoor stationary cryogenic fluid storage systems (exceeding certain capacities). Routine maintenance performed in accordance with the NC Fire Code is explicitly stated not to require a permit.",3
