municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Carrboro,0,"waste management, stormwater, and infrastructure","['stormwater', 'assessment', 'assistance', 'property', 'program', 'residential', 'cost', 'watershed', 'water', 'resilience']",,"['Carrboro homeowners', 'residents', 'property owners', 'environment', 'local streams']","Carrboro's Watershed Residential Assistance Program (WRAP) offers free stormwater site assessments to single-family homeowners to improve water management on their properties. The program aims to reduce runoff, slow erosion, improve water quality, protect streams, and enhance community resilience to stormwater challenges. Recommendations include nature-based practices, and homeowners may qualify for technical assistance and cost-sharing for eligible projects.",3
Carrboro,1,"parks, recreation, and public art","['festival', 'music', 'musicians', 'cotten', 'performers', 'sound', 'application', 'blues', 'elizabeth', 'guitar']",,"['local musicians', 'performers', 'community members', 'festival attendees', 'Town of Carrboro']","The Carrboro Music Festival is an annual event celebrating local musicians from the Carrboro, Chapel Hill, and Orange County areas, as well as surrounding counties. Performers apply to participate and receive a $250 honorarium if selected. The festival, scheduled for September 27, 2026, provides sound systems at many venues, and musicians are encouraged to sell merchandise.",3
Carrboro,2,"town governance, human resources, and board appointments","['human', 'leadership', 'foushee', 'black', 'resources', 'pegues', 'barbara', 'director', 'news', 'carrboro']",,"['Town of Carrboro employees', 'Town leadership', 'community members']","Latasha 'Tasha' Pegues has been selected as the new Human Resources Director for the Town of Carrboro, starting June 29, 2026. With over 23 years of experience in public sector HR, Pegues will focus on strengthening the workforce, advancing a diverse and supportive workplace culture, investing in employee development, and supporting the Town's mission and strategic priorities.",3
Carrboro,3,public transportation and roads,"['parking', 'towing', 'lot', 'tow', 'lots', 'private', 'mall', 'public', 'state', 'court']",,"['drivers', 'residents', 'visitors', 'businesses', 'property owners', 'Police Department']","Carrboro addresses various parking and towing regulations. Public parking lots generally do not allow overnight parking. The Town is implementing a wayfinding program for public parking. Private lots, like Carr Mill Mall, are for specific uses and can tow non-compliant vehicles, provided they adhere to State statutes and Town ordinances regarding signage, notification to Police, and payment acceptance. The Town Police Department investigates complaints about improper towing.",3
Carrboro,4,climate action and clean energy,"['climate', 'ccap', 'action', 'ecpp', 'update', 'energy', 'emissions', 'greenhouse', 'gas', 'change']",,"['Black, Indigenous, and People of Color', 'low-income communities', 'residents', 'businesses', 'Town staff/departments']","The Town of Carrboro is a national leader in climate action, aiming for an 80% reduction in community-wide and municipal greenhouse gas emissions by 2030, compared to a 2010 baseline. Key objectives include increasing energy efficiency in Town buildings, electrifying the Town fleet, adding renewable energy to facilities, increasing access to renewable energy and efficiency programs for residents and businesses, encouraging environmentally friendly transportation, reducing waste, and developing a system-wide approach to build resilience to climate change impacts, particularly for low-income and historically marginalized neighborhoods.",3
Carrboro,5,"town governance, human resources, and board appointments","['survey', 'report', 'summary', 'carrboro', 'community', 'results', 'biennial', 'town', '98', 'census']",,"['residents', 'community members', 'Town of Carrboro administration']","Carrboro conducts biennial community surveys to assess resident satisfaction with the quality of life, services, and overall experience in the town. Results from recent surveys (e.g., 2026, 2024) consistently show high resident satisfaction, with nearly all (98%) residents rating Carrboro as 'excellent' or 'good' as a place to live, raise children, and feel welcome. Carrboro often outperforms regional and national benchmarks in these surveys.",3
Carrboro,6,uncategorized initiatives,"['concrete', 'construction', 'building', 'floor', 'begin', 'site', 'installed', 'deck', 'roof', 'crews']",,"['residents', 'construction crews', 'local businesses', 'drivers']","Construction for 'The 203 Project,' a new library and civic building with an associated parking deck in Carrboro, is ongoing. The project involves significant concrete pours for the structure and parking deck, interior construction, and exterior finishing like brick veneer. Temporary road closures and traffic impacts are expected during certain phases of the work, which is projected to be completed next summer.",3
Carrboro,7,affordable housing and zoning,"['land', 'zoning', 'use', 'ordinance', 'development', 'text', 'amendments', 'associated', 'uses', 'zone']",,"['developers', 'residents', 'Town Council', 'Town Advisory Boards/Commissions']","The Zoning Division is responsible for assisting the Town Council and advisory boards, processing permits, reviewing development proposals for compliance with the Land Use Ordinance, and providing public information. Recent initiatives include public hearings and approval of Land Use Ordinance Text Amendments to modify standards related to height, residential density, and non-residential uses in the R-2 conditional district, specifically for a five-story multi-family residential project at 1307 West Main Street.",3
Carrboro,8,"police, fire, and emergency response","['911', 'officers', 'emergency', 'county', 'police', 'orange', 'storm', 'calling', 'alert', 'alerts']",,"['citizens', 'businesses', 'residents']","The Carrboro Police Department provides 24/7 law enforcement and community services, employing 43 people, including 39 sworn officers. They handle emergency and non-emergency situations, dispatching officers through Orange County Communications (911 call center). The department also offers an email alert system for criminal activity and participates in OCAlerts to notify residents about major incidents.",3
Carrboro,9,public transportation and roads,"['news', 'resurfacing', 'posted', 'june', '2026', 'pavement', 'project', 'street', 'new', 'intended']",,"['drivers', 'cyclists', 'pedestrians', 'emergency services', 'Public Works']","The Town of Carrboro recently completed the repaving of E. Poplar Street as part of its annual resurfacing project. The improvements include new striping with sharrow symbols, indicating shared use for cars and bicycles, and a wider buffered shoulder to enhance safety for pedestrians. The design aims to balance the needs of all road users, emergency services, and public works operations. The project was funded by the NC Department of Transportation.",3
