municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Orange County,0,"waste management, stormwater, and infrastructure","['recycling', 'waste', 'stars', 'gas', 'material', 'methane', 'recycle', 'composting', 'cart', 'organic']",,"['Orange County households', 'residents', 'Orange County Solid Waste Department', 'Southeast Recycling Development Council', 'North Carolina Department of Environmental Quality']","The Orange County Solid Waste Department's 'Recycling Stars Program' aims to enhance the quality and quantity of household recyclables by educating residents on proper recycling practices through cart inspections, personalized feedback, and rewards for correct recycling, which has resulted in a 59% improvement in inspected carts.",3
Orange County,1,"police, fire, and emergency response","['emergency', 'kit', 'disaster', 'orange', 'weather', 'heat', 'preparedness', 'county', 'alerts', 'shelters']",,"['Orange County residents', 'families', 'older adults', 'pet owners', 'Duke Power customers', 'Piedmont Electric customers', 'PSNC customers', 'Department of Social Services', 'Health Department', 'Animal Services', 'American Red Cross', 'Community Emergency Response Team (CERT)', 'Public Health Reserve Corps']","Orange County's 'Ready Orange' initiative serves as a comprehensive resource for disaster and emergency preparedness, encouraging residents to sign up for alerts, build family emergency kits, create plans, and providing information on emergency shelters and utility outage reporting.",3
Orange County,2,"town governance, human resources, and board appointments","['aging', 'yr', 'implementation', 'final', 'master', 'senior', 'plan', 'guide', 'activity', '2017']",,"['older adults in Orange County', 'Orange County Department on Aging', 'community members']","The Orange County Department on Aging implements a five-year Master Aging Plan (MAP) to ensure comprehensive and coordinated delivery of community services and support, fostering lifelong engagement and well-being for the county's growing older adult population.",3
Orange County,3,uncategorized initiatives,"['health', 'healthy', 'assessment', 'education', 'department', 'data', 'american', 'association', 'cha', 'national']",,"['residents', 'community members', 'partners', 'Board of Health', 'Health Department staff', 'Health educators']","The Health Promotion and Education Services team in Orange County designs, implements, and evaluates health education programs, working with partners across the county. Key activities include sharing health information, creating communication campaigns, hosting trainings, planning programs, and attending health fairs. Specific programs include supporting the Board of Health, Healthy Carolinians of Orange County (improving health and wellness, creating health assessments), Quit Nicotine for Good! (group classes and counseling), and promoting Smoke-Free Orange County policies.",3
Orange County,4,uncategorized initiatives,"['foster', 'adoption', 'pet', 'meet', 'greets', 'kitten', 'ocas', 'fosters', 'card', 'fostering']",,"['foster parents', 'adopters', 'pets', 'Orange County Animal Services (OCAS) staff', 'community members']","Orange County Animal Services (OCAS) runs a Foster Parent Hub to support fostering pets, aiming to reduce shelter stress and facilitate adoptions. The program encourages pet promotion through report cards and participation in adoption events like 'Foster Feature Saturdays'. It also provides resources for foster medical visits, including an emergency line and scheduled appointments, and detailed resources for fostering kittens, including neonatal training and weaning guidance. OCAS has an adoption policy for foster parents, emphasizing a first-come, first-served basis and staff decision-making.",3
Orange County,5,"waste management, stormwater, and infrastructure","['conservation', 'water', 'agricultural', 'soil', 'district', 'lands', 'share', 'cost', 'quality', 'landowners']",,"['Orange County landowners', 'operators', 'agricultural community', 'residential buildings', 'commercial buildings', 'public buildings', 'private buildings', 'youth', 'adults', 'North Carolina Forest Service']","The Orange County Soil & Water Conservation District provides technical, financial, and educational assistance to landowners and operators on erosion control and water quality. They offer cost-share programs, typically covering 75% of costs, to implement best management practices for agricultural, rural, and urban water quality and resource issues. Services include animal waste management, conservation planning, nutrient management, riparian restoration, sediment control, stream bank stabilization, voluntary agriculture and farmland preservation programs, closure of abandoned wells, community conservation assistance (CCAP), educational programs, forestry management, and wildlife habitat improvement.",3
Orange County,6,"town governance, human resources, and board appointments","['board', 'boards', 'application', 'pdf', 'appointed', 'commission', 'volunteer', 'requirements', 'equalization', 'review']",,"['Orange County residents', 'volunteers', 'Board of County Commissioners', ""Clerk's Office"", 'youth']","Orange County encourages residents to volunteer for its various boards and commissions to influence county decisions. The program emphasizes diverse representation and outlines general requirements for service, including age, residency, attendance, and ethical compliance. Specific boards like Equalization and Review, Economic Development Advisory, Board of Adjustment, and Planning Board require disclosure statements. The county provides an online application process and manages appointments as vacancies occur, with applications remaining active for two years.",3
Orange County,7,"town governance, human resources, and board appointments","['library', 'room', 'office', 'accounts', 'chapel', 'hill', 'quicklinks', 'main', 'division', 'study']",,"['Orange County residents', 'community members']","Orange County departments utilize various social media platforms, including Facebook, Twitter, Instagram, and YouTube, to enhance outreach efforts and provide notifications to residents. Departments maintaining these accounts include Government, Department on Aging, Animal Services, Arts Commission, DEAPR, Health Department, Library, Partnership to End Homelessness, Recreation, Sheriff, Economic Development, Emergency Services, Solid Waste Management, Tax Office, and Visit Chapel Hill & Orange County.",3
Orange County,8,"town governance, human resources, and board appointments","['departments', 'government', 'relations', 'library', 'county', 'academy', 'present', 'community', 'cohort', 'services']",,"['Orange County residents', 'county staff', 'Board of County Commissioners']","The Orange County Government Academy is an eight-week program designed to educate residents aged 16 and older about the operations of Orange County government. It includes interactive learning sessions with UNC School of Government faculty and county staff from over 19 departments, as well as exclusive tours of county facilities like the 911 Call Center, Animal Services, and the Drakeford Library Complex. The program aims to foster community engagement and understanding of how residents can contribute to the community.",3
Orange County,9,"parks, recreation, and public art","['hikes', 'dogs', 'hounds', 'dog', 'adventures', 'adventure', 'park', 'hike', 'explore', 'trails']",,"['adoptable dogs', 'volunteers', 'Orange County Animal Services', 'Orange County Department of Environment, Agriculture, Parks and Recreation', 'community members']","Hikes with Hounds is a monthly enrichment program collaboration between Orange County Animal Services and the Department of Environment, Agriculture, Parks and Recreation. It allows adoptable dogs to leave the shelter for guided 3-mile hikes at Blackwood Farm Park with pre-registered volunteers. The program aims to provide mental and physical enrichment for dogs, offer meaningful volunteer experiences, increase community engagement and visibility for dogs needing homes, and support positive leash skills and socialization. Advance registration is required due to limited participation.",3
