municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Mebane,0,"waste management, stormwater, and infrastructure","['collection', 'cart', 'recycling', 'waste', 'garbage', 'city', 'yard', 'leaves', 'items', 'collected']",,"['Mebane residents', 'Public Works Department', 'GFL Environmental (contractor)', 'Alamance County Landfill', 'Orange County Waste & Recycling Centers', 'physically or elderly disabled citizens']","Comprehensive solid waste management services including scheduled garbage, recycling, bulk item, and yard waste collection. It provides guidelines for disposing of e-waste, tires, used oil, paints, and chemicals. Special collection services are available for physically or elderly disabled citizens, and a seasonal loose-leaf collection program is offered.",3
Mebane,1,"police, fire, and emergency response","['training', 'safety', 'department', 'prevention', 'extinguisher', 'emergency', 'life', 'station', 'tours', 'firefighters']",,"['community', 'seniors', 'children', 'businesses', 'daycares', 'firefighters', 'volunteer department']","Fire and Life Safety Education and Training programs offered by the Fire Marshal's Office, including National Fire Prevention Week, station tours, child passenger safety, business and community events, prevention for seniors, and fire extinguisher training.",3
Mebane,2,"parks, recreation, and public art","['mebane', 'park', 'camp', 'parks', 'recreation', 'athletic', 'street', 'community', 'tennis', 'complex']",,"['Mebane residents', 'youth', 'adults', 'athletes', 'community members', 'Recreation and Parks Advocacy Commission']","A wide range of recreation and parks initiatives, including managing parks, facilities, and trails, offering youth and adult athletic programs (baseball, basketball, lacrosse, football, golf, softball, tennis, volleyball, soccer), sports camps, and community events like Movies in the Park, Downtown Farmers Market, and holiday celebrations. It also includes comprehensive master planning and advocacy.",3
Mebane,3,"parks, recreation, and public art","['youth', 'spring', 'coaches', 'athletic', 'child', 'program', 'scholarship', 'agree', 'policy', 'fall']",,"['youth athletes', 'parents', 'coaches', 'City staff', 'NRPA']","Policies and programs for youth athletic activities, focusing on child safety and well-being. This includes a Youth Protection Policy, Coach Code of Ethics, Parent Code of Ethics, Concussion Management Program, Heat Policy for Youth Athletic Programs, and mandatory background screenings for all coaches.",3
Mebane,4,"town governance, human resources, and board appointments","['council', 'city', 'meeting', 'board', 'monday', 'meetings', 'planning', 'county', 'corporate', 'mayor']",,"['City Council members', 'Alamance and Orange County Commissioners', 'residents of the City of Mebane', 'residents of the extraterritorial jurisdiction', 'citizens']","This initiative outlines the structure and meeting schedules of various city boards and commissions, including the Planning Board and Board of Adjustment, which advise the City Council on planning matters, zoning, and development. It details their composition, appointment processes, and responsibilities.",3
Mebane,5,"police, fire, and emergency response","['police', 'officers', 'department', 'community', 'law', 'enforcement', 'traffic', 'school', 'support', 'unit']",,"['Mebane Community', 'residents', 'guests', 'citizens', 'local schools and programs', 'homeowners/residents', 'Special Olympics North Carolina', 'law enforcement agencies', 'corrections departments']","This initiative focuses on the Mebane Police Department's ""Community Oriented Policing"" philosophy and related programs. It includes National Night Out, a Citizens' Police Academy, Police Department Tours, Fingerprinting services, Residential Security Checks, and support for Special Olympics through the Law Enforcement Torch Run, aiming to build strong police-community partnerships and improve quality of life.",3
Mebane,6,"town governance, human resources, and board appointments","['annual', 'report', 'work', 'posted', 'plan', 'download', '2023', 'bpac', 'drinking', 'quality']",,"['citizens', 'BPAC (Bicycle and Pedestrian Advisory Commission)']","This initiative involves the regular publication and availability of Annual Reports and Work Plans, including those from the BPAC (Bicycle and Pedestrian Advisory Commission), for various years (e.g., 2018-2026). These documents are made available for download, providing transparency on past activities and future plans.",3
Mebane,7,"waste management, stormwater, and infrastructure","['water', 'service', 'particles', 'lines', 'drinking', 'quality', 'lead', 'backflow', 'line', 'utilities']",,"['Public Utilities Department', 'City of Graham', 'customers', 'homeowners/residents', 'licensed plumbers', 'Fire Departments']","This initiative provides comprehensive information on Mebane's public utility services, specifically water and sewer. It covers how to set up new services, the source of the city's water, the division of responsibility for service lines, and detailed guidance on troubleshooting water quality issues like discoloration, odor, and particles. It also mentions the Lead Service Line Inventory and Annual Drinking Water Quality Reports.",3
Mebane,8,"parks, recreation, and public art","['fitness', 'court', 'open', 'workout', 'art', 'fields', 'courts', 'pad', 'splash', 'cone']",,"['Mebane Youth Soccer Association', 'residents', 'dog owners', 'community members seeking fitness/recreation']","This initiative highlights the Mebane Community Park as a central hub for recreation and fitness. It features two artificial turf ball fields used by the Mebane Youth Soccer Association and the recently installed Cone Health Community Fitness Court, a state-of-the-art bodyweight resistance workout area. Other amenities include a 0.5-mile walking/running track, a dog park, a splash pad, and a playground.",3
Mebane,9,"town governance, human resources, and board appointments","['annual', 'report', 'posted', 'download', 'financial', 'plan', '2026', 'plans', 'draft', 'finance']",,"['citizens', 'Finance Department', 'City of Mebane']",This initiative focuses on the regular publication and accessibility of the City of Mebane's Annual Comprehensive Financial Reports (ACFR) and Popular Annual Financial Reports (PAFR). These documents provide financial transparency for various fiscal years and are available for download.,3
